timestamp,imu_w,imu_x,imu_y,imu_z,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6
109.518997,0.501933,-0.571074,-0.522483,-0.385941,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.538002,0.501536,-0.571308,-0.522397,-0.386225,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.558998,0.501573,-0.571582,-0.521737,-0.386664,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.579002,0.501429,-0.571614,-0.521106,-0.387653,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.598999,0.502403,-0.572302,-0.519390,-0.387680,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.619003,0.501718,-0.573127,-0.518791,-0.388151,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.639000,0.502121,-0.573858,-0.518182,-0.387362,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.658997,0.500650,-0.574479,-0.518776,-0.387550,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.679001,0.500484,-0.575664,-0.518486,-0.386391,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.698997,0.501254,-0.577091,-0.517350,-0.384786,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.719002,0.500593,-0.578689,-0.516428,-0.384485,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.738998,0.499424,-0.580522,-0.515742,-0.384162,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.759003,0.497863,-0.582713,-0.515494,-0.383202,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.778999,0.497131,-0.584710,-0.515542,-0.381040,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.799004,0.497326,-0.586647,-0.515215,-0.378241,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.819000,0.496905,-0.588115,-0.514516,-0.377465,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.838997,0.496240,-0.589476,-0.513070,-0.378184,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.860001,0.496320,-0.590790,-0.511059,-0.378752,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
109.879997,0.496436,-0.592202,-0.508675,-0.379602,-0.312000,-0.837000,2.020000,-6.203863,0.096054,-6.232609,0.000000,0.000000,0.000000,0.732662,-0.049850,33.000000
